source_state,S. No.,District Code,District Version,District Name,District Name_1,Census 2001 Code,Census 2011 Code
Assam,11.0,285,10,Dhubri,DHUBURI,02,301
Assam,12.0,286,1,Dibrugarh,DIBRUGARH,15,310
Assam,13.0,299,2,Dima Hasao,DIMA HASAO,20,315
Assam,14.0,287,1,Goalpara,GOALPARA,03,302
Assam,15.0,288,4,Golaghat,GOLAGHAT,18,313
Assam,16.0,289,2,Hailakandi,HAILAKANDI,23,318
Assam,17.0,709,7,Hojai,,,000
Assam,18.0,290,4,Jorhat,JORHAT,17,312
Assam,19.0,291,3,Kamrup,KAMRUP,06,321
Assam,20.0,618,3,Kamrup Metro,KAMRUP MOHANAGAR,,322
Assam,21.0,292,2,Karbi Anglong,KARBI ANGLONG,19,314
Assam,22.0,294,1,Kokrajhar,KOKRAJHAR,01,300
Assam,23.0,295,2,Lakhimpur,LAKHIMPUR,12,307
Assam,24.0,706,3,Majuli,,,000
Assam,25.0,296,3,Marigaon,MARIGAON,09,304
Assam,26.0,297,9,Nagaon,NAGAON,10,305
Assam,27.0,298,2,Nalbari,NALBARI,07,323
Assam,28.0,300,5,Sivasagar,SIVASAGAR,16,311
Assam,29.0,301,10,Sonitpur,SONITPUR,11,306
Assam,30.0,707,9,South Salmara Mancachar,,,000
Assam,31.0,293,3,Sribhumi,শ্ৰীভূমি,22,317
Assam,32.0,756,4,Tamulpur,,,000
Assam,33.0,302,1,Tinsukia,TINSUKIA,14,309
Assam,34.0,617,4,Udalguri,,,326
Assam,35.0,710,1,West Karbi Anglong,,,000
Assam,,,,,,,
Assam,"Sep 5, 2026, 6:25 PM",,,,,,
Bihar,,,,(In English),(In Local),,
Bihar,1.0,188,1,Araria,अररिया,07,209
Bihar,2.0,611,2,Arwal,अरवल,33,240
Bihar,3.0,189,2,Aurangabad,औरंगाबाद,34,235
Bihar,4.0,190,1,Banka,बांका,23,225
Bihar,5.0,191,1,Begusarai,बेगूसराय,20,222
Bihar,6.0,192,3,Bhagalpur,भागलपुर,22,224
Bihar,7.0,193,2,Bhojpur,भोजपुर,29,231
Bihar,8.0,194,1,Buxar,बक्सर,30,232
Bihar,9.0,195,4,Darbhanga,दरभंगा,13,215
Bihar,10.0,196,1,Gaya,गया,35,236
Bihar,11.0,197,1,Gopalganj,गोपालगंज,15,217
Bihar,12.0,198,1,Jamui,जमुई,37,238
Bihar,13.0,199,1,Jehanabad,जहानाबाद,33,239
Bihar,14.0,200,1,Kaimur (Bhabua),कैमूर ( भभुआ ),31,233
Bihar,15.0,201,2,Katihar,कटिहार,10,212
Bihar,16.0,202,1,Khagaria,खगड़िया,21,223
Bihar,17.0,203,1,Kishanganj,किशनगंज,08,210
Bihar,18.0,204,1,Lakhisarai,लखीसराय,25,227
Bihar,19.0,205,1,Madhepura,मधेपुरा,11,213
Bihar,20.0,206,1,Madhubani,मधुबनी,05,207
Bihar,21.0,207,1,Munger,मुंगेर,24,226
Bihar,22.0,208,1,Muzaffarpur,मुजफ्फरपुर,14,216
Bihar,23.0,209,1,Nalanda,नालंदा,27,229
Bihar,24.0,210,1,Nawada,नवादा,36,237
Bihar,25.0,211,1,Pashchim Champaran,पश्चिम चम्पारण,01,203
Bihar,26.0,212,1,Patna,पटना,28,230
Bihar,27.0,213,1,Purbi Champaran,पूर्वी चंपारण,02,204
Bihar,28.0,214,1,Purnia,पूर्णिया,09,211
Bihar,29.0,215,1,Rohtas,रोहतास,32,234
Bihar,30.0,216,1,Saharsa,सहरसा,12,214
Bihar,31.0,217,1,Samastipur,समस्तीपुर,19,221
Bihar,32.0,218,1,Saran,सारण,17,219
Bihar,33.0,219,1,Sheikhpura,शेखपुरा,26,228
Bihar,34.0,220,1,Sheohar,शिवहर,03,205
Bihar,35.0,221,1,Sitamarhi,सीतामढी,04,206
Bihar,36.0,222,1,Siwan,सिवान,16,218
Bihar,37.0,223,1,Supaul,सुपौल,06,208
Bihar,38.0,224,2,Vaishali,वैशाली,18,220
Bihar,,,,,,,
Bihar,"Sep 5, 2026, 6:26 PM",,,,,,
Chandigarh,,,,(In English),(In Local),,
Chandigarh,1.0,44,1,Chandigarh,CHANDIGARH,01,055
Chandigarh,,,,,,,
Chandigarh,"Sep 5, 2026, 6:27 PM",,,,,,
Chhattisgarh,,,,(In English),(In Local),,
Chhattisgarh,1.0,646,1,Balod,बालोद,,000
Chhattisgarh,2.0,644,3,Balodabazar-Bhatapara,बलौदाबाजार-भाटापारा,,000
Chhattisgarh,3.0,649,3,Balrampur-Ramanujganj,बलरामपुर-रामानुजगंज,,000
Chhattisgarh,4.0,374,1,Bastar,बस्तर,15,414
